<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2006.01.23	08:00:00	114.820	114.830	114.190	114.280	1818	0	30
2006.01.23	12:00:00	114.260	114.520	114.140	114.450	1799	0	30
2006.01.23	16:00:00	114.450	114.780	114.420	114.560	1642	0	30
2006.01.23	20:00:00	114.560	114.590	114.340	114.560	1323	0	30
2006.01.24	00:00:00	114.570	114.750	114.320	114.680	1525	0	30
2006.01.24	04:00:00	114.670	114.890	114.540	114.590	1416	0	30
2006.01.24	08:00:00	114.590	114.790	114.450	114.600	1708	0	30
2006.01.24	12:00:00	114.600	114.780	114.380	114.480	1583	0	30
2006.01.24	16:00:00	114.480	114.720	114.480	114.600	1428	0	30
2006.01.24	20:00:00	114.600	114.940	114.520	114.900	1213	0	30
2006.01.25	00:00:00	114.890	115.280	114.830	115.130	1515	0	30
2006.01.25	04:00:00	115.130	115.250	114.830	114.960	1471	0	30
2006.01.25	08:00:00	114.960	115.130	114.640	114.860	1796	0	30
2006.01.25	12:00:00	114.870	115.750	114.730	115.690	1689	0	30
2006.01.25	16:00:00	115.690	116.000	115.460	115.620	1620	0	30
2006.01.25	20:00:00	115.610	115.890	115.560	115.790	1375	0	30
2006.01.26	00:00:00	115.820	115.870	115.470	115.640	1429	0	30
2006.01.26	04:00:00	115.630	115.750	115.560	115.700	1343	0	30
2006.01.26	08:00:00	115.700	115.950	115.440	115.910	1699	0	30
2006.01.26	12:00:00	115.890	116.070	115.700	115.860	1830	0	30
2006.01.26	16:00:00	115.870	116.460	115.800	116.360	1653	0	30
2006.01.26	20:00:00	116.360	116.600	116.300	116.480	1264	0	30
2006.01.27	00:00:00	116.500	116.530	116.120	116.230	1377	0	30
2006.01.27	04:00:00	116.220	116.530	116.120	116.450	1415	0	30
2006.01.27	08:00:00	116.450	116.850	116.170	116.810	1783	0	30
2006.01.27	12:00:00	116.810	116.910	116.290	116.500	1953	0	30
2006.01.27	16:00:00	116.490	117.440	116.440	117.370	1736	0	30
2006.01.27	20:00:00	117.380	117.460	117.170	117.440	1062	0	30
2006.01.30	00:00:00	117.270	117.430	117.000	117.360	1363	0	30
2006.01.30	04:00:00	117.350	117.450	117.250	117.360	1196	0	30
2006.01.30	08:00:00	117.370	117.840	117.310	117.720	1640	0	30
2006.01.30	12:00:00	117.720	117.780	117.430	117.600	1673	0	30
2006.01.30	16:00:00	117.600	117.810	117.500	117.660	1412	0	30
2006.01.30	20:00:00	117.650	117.710	117.510	117.620	1160	0	30
2006.01.31	00:00:00	117.620	117.810	117.490	117.560	1419	0	30
2006.01.31	04:00:00	117.560	117.710	117.410	117.460	1332	0	30
2006.01.31	08:00:00	117.470	117.530	116.960	117.160	1703	0	30
2006.01.31	12:00:00	117.170	117.420	117.010	117.210	1587	0	30
2006.01.31	16:00:00	117.210	117.280	116.690	116.960	1771	0	30
2006.01.31	20:00:00	116.960	117.570	116.810	117.220	1652	0	30
2006.02.01	00:00:00	117.280	117.430	117.060	117.180	1365	0	30
2006.02.01	04:00:00	117.180	117.320	117.110	117.290	1339	0	30
2006.02.01	08:00:00	117.280	117.750	117.160	117.590	1662	0	30
2006.02.01	12:00:00	117.590	117.750	117.400	117.570	1682	0	30
2006.02.01	16:00:00	117.570	118.140	117.470	117.950	1657	0	30
2006.02.01	20:00:00	117.950	118.180	117.850	118.070	1273	0	30
2006.02.02	00:00:00	118.070	118.360	117.870	118.230	1408	0	30
2006.02.02	04:00:00	118.230	118.650	118.140	118.460	1411	0	30
2006.02.02	08:00:00	118.460	118.680	118.270	118.430	1667	0	30
2006.02.02	12:00:00	118.410	118.640	118.390	118.580	1845	0	30
2006.02.02	16:00:00	118.580	118.630	118.180	118.460	1742	0	30
2006.02.02	20:00:00	118.480	118.610	118.380	118.580	1258	0	30
2006.02.03	00:00:00	118.570	118.640	118.320	118.360	1380	0	30
2006.02.03	04:00:00	118.360	118.550	118.320	118.470	1233	0	30
2006.02.03	08:00:00	118.460	118.610	118.370	118.500	1488	0	30
2006.02.03	12:00:00	118.500	119.420	118.370	119.280	1972	0	30
2006.02.03	16:00:00	119.300	119.320	118.820	119.020	1627	0	30
2006.02.03	20:00:00	119.020	119.050	118.820	118.860	916	0	30
2006.02.06	00:00:00	118.880	118.930	118.590	118.630	1367	0	30
2006.02.06	04:00:00	118.630	118.750	118.470	118.680	1389	0	30
2006.02.06	08:00:00	118.690	118.800	118.530	118.730	1621	0	30
2006.02.06	12:00:00	118.740	118.980	118.690	118.940	1560	0	30
2006.02.06	16:00:00	118.940	119.130	118.780	119.080	1661	0	30
2006.02.06	20:00:00	119.090	119.110	118.940	119.020	1200	0	30
2006.02.07	00:00:00	119.010	119.200	118.930	118.970	1418	0	30
2006.02.07	04:00:00	118.990	119.020	118.810	118.860	1330	0	30
2006.02.07	08:00:00	118.880	118.930	117.610	117.920	1898	0	30
2006.02.07	12:00:00	117.920	118.090	117.780	117.850	1820	0	30
2006.02.07	16:00:00	117.850	118.170	117.790	118.060	1593	0	30
2006.02.07	20:00:00	118.070	118.210	117.660	117.750	1288	0	30
2006.02.08	00:00:00	117.750	118.130	117.540	118.050	1455	0	30
2006.02.08	04:00:00	118.060	118.150	117.630	117.630	1338	0	30
2006.02.08	08:00:00	117.640	118.410	117.630	118.260	1835	0	30
2006.02.08	12:00:00	118.250	118.520	118.180	118.380	1754	0	30
2006.02.08	16:00:00	118.370	118.830	118.310	118.630	1594	0	30
2006.02.08	20:00:00	118.620	118.690	118.440	118.530	1172	0	30
2006.02.09	00:00:00	118.550	118.640	118.280	118.610	1301	0	30
2006.02.09	04:00:00	118.610	118.790	118.480	118.650	1412	0	30
2006.02.09	08:00:00	118.640	118.800	118.370	118.460	1645	0	30
2006.02.09	12:00:00	118.500	118.630	118.320	118.520	1643	0	30
2006.02.09	16:00:00	118.510	118.880	118.450	118.730	1687	0	30
2006.02.09	20:00:00	118.730	118.930	118.720	118.850	1279	0	30
2006.02.10	00:00:00	118.850	118.960	118.410	118.480	1558	0	30
2006.02.10	04:00:00	118.470	118.550	117.760	117.850	1620	0	30
2006.02.10	08:00:00	117.840	117.980	117.360	117.640	1855	0	30
2006.02.10	12:00:00	117.640	117.740	116.880	117.050	1961	0	30
2006.02.10	16:00:00	117.070	117.910	116.980	117.860	1808	0	30
2006.02.10	20:00:00	117.860	118.060	117.650	117.770	1026	0	30
2006.02.13	00:00:00	117.790	117.940	117.520	117.820	1384	0	30
2006.02.13	04:00:00	117.810	118.060	117.790	117.870	1319	0	30
2006.02.13	08:00:00	117.860	118.290	117.750	118.210	1652	0	30
2006.02.13	12:00:00	118.210	118.260	117.890	117.930	1870	0	30
2006.02.13	16:00:00	117.930	117.990	117.590	117.620	1493	0	30
2006.02.13	20:00:00	117.640	117.820	117.620	117.770	1104	0	30
2006.02.14	00:00:00	117.770	117.790	117.350	117.490	1473	0	30
2006.02.14	04:00:00	117.480	117.530	117.120	117.210	1339	0	30
2006.02.14	08:00:00	117.210	117.490	117.120	117.420	1598	0	30
2006.02.14	12:00:00	117.420	117.740	117.180	117.360	1856	0	30
2006.02.14	16:00:00	117.340	117.660	117.290	117.470	1557	0	30
2006.02.14	20:00:00	117.470	117.500	117.280	117.430	1224	0	30
2006.02.15	00:00:00	117.450	117.730	117.440	117.690	1368	0	30
2006.02.15	04:00:00	117.680	117.790	117.550	117.650	1309	0	30
2006.02.15	08:00:00	117.650	117.680	117.450	117.590	1555	0	30
2006.02.15	12:00:00	117.590	117.640	117.070	117.080	1946	0	30
2006.02.15	16:00:00	117.070	118.140	116.740	118.070	2005	0	30
2006.02.15	20:00:00	118.080	118.090	117.770	117.850	1252	0	30
2006.02.16	00:00:00	117.860	118.070	117.800	117.870	1295	0	30
2006.02.16	04:00:00	117.890	118.000	117.680	117.840	1373	0	30
2006.02.16	08:00:00	117.830	118.060	117.720	118.020	1623	0	30
2006.02.16	12:00:00	118.010	118.280	117.910	118.000	1888	0	30
2006.02.16	16:00:00	118.000	118.140	117.730	118.000	1587	0	30
2006.02.16	20:00:00	117.980	118.040	117.530	117.660	1339	0	30
2006.02.17	00:00:00	117.650	118.280	117.320	118.200	1587	0	30
2006.02.17	04:00:00	118.200	118.290	117.960	118.060	1465	0	30
2006.02.17	08:00:00	118.080	118.480	117.850	118.360	1798	0	30
2006.02.17	12:00:00	118.360	118.880	118.320	118.500	1901	0	30
2006.02.17	16:00:00	118.510	118.590	118.100	118.230	1841	0	30
2006.02.17	20:00:00	118.240	118.270	118.020	118.140	893	0	30
2006.02.20	00:00:00	118.280	118.310	117.930	117.980	1369	0	30
2006.02.20	04:00:00	117.990	118.290	117.920	118.160	1364	0	30
2006.02.20	08:00:00	118.150	118.320	118.070	118.140	1462	0	30
2006.02.20	12:00:00	118.140	118.310	118.100	118.260	1394	0	30
2006.02.20	16:00:00	118.260	118.310	118.170	118.260	1208	0	30
2006.02.20	20:00:00	118.260	118.340	118.200	118.320	867	0	30
2006.02.21	00:00:00	118.330	118.640	118.280	118.600	1390	0	30
2006.02.21	04:00:00	118.630	118.630	118.420	118.540	1284	0	30
2006.02.21	08:00:00	118.550	118.830	118.500	118.770	1662	0	30
2006.02.21	12:00:00	118.770	118.990	118.720	118.940	1718	0	30
2006.02.21	16:00:00	118.940	119.010	118.740	118.790	1538	0	30
2006.02.21	20:00:00	118.780	118.860	118.640	118.820	1174	0	30
2006.02.22	00:00:00	118.810	118.900	118.390	118.470	1455	0	30
2006.02.22	04:00:00	118.450	118.690	118.380	118.570	1309	0	30
2006.02.22	08:00:00	118.580	118.920	118.540	118.850	1611	0	30
2006.02.22	12:00:00	118.840	118.870	118.310	118.580	1735	0	30
2006.02.22	16:00:00	118.570	118.690	118.420	118.640	1476	0	30
2006.02.22	20:00:00	118.640	118.670	118.430	118.460	1140	0	30
2006.02.23	00:00:00	118.460	118.530	118.270	118.340	1354	0	30
2006.02.23	04:00:00	118.330	118.390	117.340	117.520	1800	0	30
2006.02.23	08:00:00	117.530	117.680	116.930	116.980	2007	0	30
2006.02.23	12:00:00	116.970	117.390	116.770	117.310	2004	0	30
2006.02.23	16:00:00	117.290	117.430	116.830	116.980	1749	0	30
2006.02.23	20:00:00	116.990	117.250	116.940	117.060	1238	0	30
2006.02.24	00:00:00	117.040	117.180	116.420	116.590	1619	0	30
2006.02.24	04:00:00	116.590	116.750	116.520	116.660	1504	0	30
2006.02.24	08:00:00	116.670	117.130	116.540	116.790	1936	0	30
2006.02.24	12:00:00	116.790	117.020	116.640	116.680	1927	0	30
2006.02.24	16:00:00	116.680	117.110	116.670	116.880	1663	0	30
2006.02.24	20:00:00	116.870	117.010	116.700	116.780	912	0	30
2006.02.27	00:00:00	117.060	117.180	115.660	115.990	1923	0	30
2006.02.27	04:00:00	116.000	116.280	115.810	116.240	1554	0	30
2006.02.27	08:00:00	116.250	116.330	115.970	116.150	1721	0	30
2006.02.27	12:00:00	116.150	116.300	116.030	116.160	1681	0	30
2006.02.27	16:00:00	116.160	116.280	115.880	116.140	1660	0	30
2006.02.27	20:00:00	116.140	116.300	116.050	116.230	1244	0	30
2006.02.28	00:00:00	116.230	116.490	116.160	116.420	1470	0	30
2006.02.28	04:00:00	116.410	116.510	116.120	116.210	1473	0	30
2006.02.28	08:00:00	116.230	116.420	115.990	116.150	1608	0	30
2006.02.28	12:00:00	116.140	116.440	116.100	116.130	1767	0	30
2006.02.28	16:00:00	116.130	116.180	115.770	115.800	1772	0	30
2006.02.28	20:00:00	115.820	115.880	115.700	115.770	1320	0	30
2006.03.01	00:00:00	115.760	116.040	115.450	115.800	1639	0	30
2006.03.01	04:00:00	115.820	115.890	115.600	115.820	1359	0	30
2006.03.01	08:00:00	115.830	116.290	115.740	116.270	1664	0	30
2006.03.01	12:00:00	116.280	116.340	115.750	115.910	1778	0	30
2006.03.01	16:00:00	115.920	116.290	115.850	116.180	1722	0	30
2006.03.01	20:00:00	116.190	116.340	115.970	115.990	1357	0	30
2006.03.02	00:00:00	116.000	116.290	115.970	116.210	1321	0	30
2006.03.02	04:00:00	116.210	116.390	116.130	116.240	1346	0	30
2006.03.02	08:00:00	116.230	116.320	115.990	116.240	1650	0	30
2006.03.02	12:00:00	116.240	116.440	116.150	116.180	1925	0	30
2006.03.02	16:00:00	116.180	116.210	115.840	115.950	1816	0	30
2006.03.02	20:00:00	115.960	115.990	115.780	115.930	1367	0	30
2006.03.03	00:00:00	115.920	116.680	115.560	116.350	1766	0	30
2006.03.03	04:00:00	116.350	116.510	116.330	116.400	1300	0	30
2006.03.03	08:00:00	116.390	116.590	116.220	116.380	1716	0	30
2006.03.03	12:00:00	116.370	116.530	116.260	116.370	1700	0	30
2006.03.03	16:00:00	116.370	116.820	116.340	116.430	1595	0	30
2006.03.03	20:00:00	116.430	116.530	116.330	116.410	903	0	30
2006.03.06	00:00:00	116.380	116.750	116.040	116.710	1486	0	30
2006.03.06	04:00:00	116.700	117.190	116.660	116.960	1442	0	30
2006.03.06	08:00:00	116.950	117.310	116.810	117.230	1596	0	30
2006.03.06	12:00:00	117.240	117.600	117.070	117.360	1637	0	30
2006.03.06	16:00:00	117.350	117.710	117.310	117.570	1630	0	30
2006.03.06	20:00:00	117.600	117.690	117.490	117.620	1229	0	30
2006.03.07	00:00:00	117.640	117.760	117.450	117.480	1749	0	30
2006.03.07	04:00:00	117.480	117.700	117.350	117.610	1779	0	30
